2021-04-16,Gölge Oyunu   ,FALSE,TRUE,
2021-04-17,Dragonslayer    ,FALSE,TRUE,
2021-04-18,Kış Uykusu   ,FALSE,TRUE,
2021-04-19,Godzilla vs. Biolante  ,FALSE,TRUE,
2021-04-20,The Congress   ,FALSE,TRUE,
2021-04-21,Lords of the Deep ,FALSE,TRUE,
2021-04-22,Metropolis    ,FALSE,TRUE,
2021-04-23,Cannibal Holocaust   ,FALSE,TRUE,
2021-04-24,Twins    ,FALSE,TRUE,
2021-04-25,    ,,,
2021-04-26,Space Rage   ,FALSE,TRUE,
2021-04-27,Rocky III   ,FALSE,TRUE,
2021-04-28,Cyborg 9 - The Legend of The Super Galaxy,FALSE,TRUE,
2021-04-29,        ,,,
2021-04-30,Scarface        ,FALSE,TRUE,
2021-05-01,Firefox        ,FALSE,TRUE,
2021-05-02,Crusher Joe: Ice Prison     ,FALSE,TRUE,
2021-05-03,Purple Rain       ,FALSE,TRUE,
2021-05-04,Impulse        ,FALSE,TRUE,
2021-05-05,Interstella 5555       ,FALSE,TRUE,
2021-05-06,The Running Man      ,FALSE,TRUE,
2021-05-07,Crusher Joe: Ultimare Weapon: Ash    ,FALSE,TRUE,
2021-05-08,Entertainment        ,FALSE,TRUE,
2021-05-09,Per Aspera Ad Astra     ,FALSE,TRUE,
2021-05-10,Midnight Run       ,FALSE,TRUE,
2021-05-11,Susuz Yaz       ,FALSE,TRUE,
2021-05-12,Rain Man       ,FALSE,TRUE,
2021-05-13,Trancers        ,FALSE,TRUE,
2021-05-14,Vampire Hunter D      ,FALSE,TRUE,
2021-05-15,Star Crystal       ,FALSE,TRUE,
2021-05-16,        ,,,
2021-05-17,Grave of the Fireflies     ,FALSE,TRUE,
2021-05-18,Gorky Park       ,FALSE,TRUE,
2021-05-19,Lethal Weapon       ,FALSE,TRUE,
2021-05-20,Visitors from the Galaxy Arkana    ,FALSE,TRUE,
2021-05-21,Black Rain       ,FALSE,TRUE,
2021-05-22,Xtro        ,FALSE,TRUE,
2021-05-23,The Profesional: Golgo 13     ,FALSE,TRUE,
2021-05-24,        ,,,
2021-05-25,Malevil        ,FALSE,TRUE,
2021-05-26,Born In Flames      ,FALSE,TRUE,
2021-05-27,Bill & Ted's Excellent Adventure    ,FALSE,TRUE,
2021-05-28,Fire & Ice      ,FALSE,TRUE,
2021-05-29,Space Warrior Baldios      ,FALSE,TRUE,
2021-05-30,Kickboxer        ,FALSE,TRUE,
2021-05-31,The Cruse       ,FALSE,TRUE,
2021-06-01,Gunhed        ,FALSE,TRUE,
2021-06-02,        ,,,
2021-06-03,Chopping Mall       ,FALSE,TRUE,
2021-06-04,Oyunbozan        ,FALSE,TRUE,
2021-06-05,Mirai Ninja       ,FALSE,TRUE,
2021-06-06,Star Slammer       ,FALSE,TRUE,
2021-06-07,Mindgame        ,FALSE,TRUE,
2021-06-08,Warlock        ,FALSE,TRUE,
2021-06-09,Yıkılmayan Adam       ,FALSE,TRUE,
2021-06-10,Under The Sun of Satan    ,FALSE,TRUE,
2021-06-11,Warlords        ,FALSE,TRUE,
2021-06-12,İşe Yarar Bir Şey     ,FALSE,TRUE,
2021-06-13,        ,,,
2021-06-14,        ,,,
2021-06-15,Robowar        ,FALSE,TRUE,
2021-06-16,Tetsuo        ,FALSE,TRUE,
2021-06-17,6 Days to Air     ,FALSE,TRUE,
2021-06-18,Swamp Thing       ,FALSE,TRUE,
2021-06-19,        ,,,
2021-06-20,Wings of Desire      ,FALSE,TRUE,
2021-06-21,Xabungle Grafitti       ,FALSE,TRUE,
2021-06-22,        ,,,
2021-06-23,Transformers The Movie      ,FALSE,TRUE,
2021-06-24,Repo Man       ,FALSE,TRUE,
2021-06-25,Warrior of the Lost World    ,FALSE,TRUE,
2021-06-26,        ,,,
2021-06-27,Kaptan        ,FALSE,TRUE,
2021-06-28,        ,,,
2021-06-29,Dirty Pair       ,FALSE,TRUE,
2021-06-30,        ,,,
2021-07-01,        ,,,
2021-07-02,Nomadland        ,TRUE,FALSE,
2021-07-03,        ,,,
2021-07-04,        ,,,
2021-07-05,Zone Troopers       ,FALSE,TRUE,
2021-07-06,Texas Gladiators 2020      ,FALSE,TRUE,
2021-07-07,The Fly 2      ,FALSE,TRUE,
2021-07-08,The Karate Kid      ,FALSE,TRUE,
2021-07-09,        ,,,
2021-07-10,        ,,,
2021-07-11,The Aftermath       ,FALSE,TRUE,
2021-07-12,Sonbahar        ,FALSE,TRUE,
2021-07-13,        ,,,
2021-07-14,Cobra        ,FALSE,TRUE,
2021-07-15,        ,,,
2021-07-16,        ,,,
2021-07-17,        ,,,
2021-07-18,Fist of the North Star    ,FALSE,TRUE,
2021-07-19,        ,,,
2021-07-20,        ,,,
2021-07-21,        ,,,
2021-07-22,Wraith        ,FALSE,TRUE,
2021-07-23,        ,,,
2021-07-24,        ,,,
2021-07-25,Blood of Heroes      ,FALSE,TRUE,
2021-07-26,        ,,,
2021-07-27,        ,,,
2021-07-28,        ,,,
2021-07-29,        ,,,
2021-07-30,        ,,,
2021-08-01,Seven Samurai       ,TRUE,FALSE,
2021-08-02,Rocky IV       ,FALSE,TRUE,
2021-08-03,        ,,,
2021-08-04,        ,,,
2021-08-05,Phenomena        ,FALSE,TRUE,
2021-08-06,Black Eagle       ,FALSE,TRUE,
2021-08-07,        ,,,
2021-08-08,        ,,,
2021-08-09,Phenomena?        ,FALSE,TRUE,
2021-08-10,        ,,,
2021-08-11,        ,,,
2021-08-12,Biloxi Blues       ,FALSE,TRUE,
2021-08-13,        ,,,
2021-08-14,        ,,,
2021-08-15,        ,,,
2021-08-16,        ,,,
2021-08-17,        ,,,
2021-08-18,Big        ,FALSE,TRUE,
2021-08-19,        ,,,
2021-08-20,The Goonies       ,FALSE,TRUE,
2021-08-21,The Green Knight      ,TRUE,FALSE,
2021-08-22,        ,,,
2021-08-23,Who Framed Roger Rabbit     ,FALSE,TRUE,
2021-08-24,        ,,,
2021-08-25,Gandahar        ,FALSE,TRUE,
2021-08-26,        ,,,
2021-08-27,        ,,,
2021-08-28,        ,,,
2021-08-29,The Accused       ,FALSE,TRUE,
2021-08-30,Abluka        ,FALSE,TRUE,
2021-08-31,Arena        ,FALSE,TRUE,
2021-08-31,        ,,,
2021-09-01,Get Out       ,FALSE,FALSE,
2021-09-02,        ,,,
2021-09-03,        ,,,
2021-09-04,Candyman        ,TRUE,FALSE,
2021-09-05,        ,,,
2021-09-06,        ,,,
2021-09-07,        ,,,
2021-09-08,        ,,,
2021-09-09,        ,,,
2021-09-10,        ,,,
2021-09-11,        ,,,
2021-09-12,        ,,,
2021-09-13,Terms of Endearment      ,FALSE,TRUE,
2021-09-14,        ,,,
2021-09-15,        ,,,
2021-09-16,        ,,,
2021-09-17,        ,,,
2021-09-18,        ,,,
2021-09-19,21 Jump Street      ,FALSE,FALSE,
2021-09-20,Good Morning Vietnam      ,FALSE,TRUE,
2021-09-21,Watchers        ,FALSE,TRUE,
2021-09-22,        ,,,
2021-09-23,        ,,,
2021-09-24,        ,,,
2021-09-25,        ,,,
2021-09-26,Neon Genesis Evangelion Death & Rebirth   ,FALSE,TRUE,
2021-09-27,        ,,,
2021-09-28,Platoon        ,FALSE,TRUE,
2021-09-29,Memoirs of a Survivor     ,FALSE,TRUE,
2021-09-30,        ,,,
2021-10-01,        ,,,
2021-10-02,        ,,,
2021-10-03,        ,,,
2021-10-04,Raiders of Atlantis      ,FALSE,TRUE,
2021-10-05,        ,,,
2021-10-06,        ,,,
2021-10-07,Killer Klowns from Outer Space    ,FALSE,TRUE,
2021-10-08,No Country for Old Men    ,FALSE,TRUE,
2021-10-09,        ,,,
2021-10-10,Searching        ,FALSE,TRUE,
2021-10-11,        ,,,
2021-10-12,        ,,,
2021-10-13,        ,,,
2021-10-14,The Brain       ,FALSE,TRUE,
2021-10-15,        ,,,
2021-10-16,        ,,,
2021-10-17,Last Train to Busan     ,FALSE,FALSE,
2021-10-18,        ,,,
2021-10-19,Last Duel       ,TRUE,FALSE,
2021-10-20,        ,,,
2021-10-21,        ,,,
2021-10-22,Amelie        ,FALSE,FALSE,
2021-10-23,Yadeller        ,FALSE,TRUE,
2021-10-24,Kurbağlar        ,FALSE,TRUE,
2021-10-25,The Blob       ,FALSE,TRUE,
2021-10-26,Dead-end Diner       ,FALSE,TRUE,
2021-10-27,        ,,,
2021-10-28,Sole Survivor       ,FALSE,TRUE,
2021-10-29,        ,,,
2021-10-30,Suspiria 77       ,TRUE,FALSE,
2021-10-31,        ,,,
2021-11-01,        ,,,
2021-11-02,Dune 2021       ,TRUE,FALSE,
2021-11-03,        ,,,
2021-11-04,        ,,,
2021-11-05,        ,,,
2021-11-06,Remake Remix Rip-off      ,FALSE,FALSE,
2021-11-07,        ,,,
2021-11-08,Secret of the NIMH     ,FALSE,TRUE,
2021-11-09,Eternals        ,TRUE,FALSE,
